,Name,Type,CompositionElements,ActiveSpeciesElements,SupportMaterial,ConversionTypes,DeactivationRates,FeedCompositionAndRatios,ReactionTemperature,InletFlowRate,CatalystLoadingOrGHSV,TypeIdentify,FeedGasComposition,ContainsOxidizingAgent,Enhancement,Selectivity,StructureType,PreparationMethod,PromoterElements,StabilityOriginal,ConvertedStability,PropanePartialPressure,PropyleneYield,PropaneProductionRate,PropaneConversion,ThermalConductivity,PropeneYield,PropeneProductionRate,TurnoverFrequency,DOI,Year,ConversionRate
499,Nickel single-atom catalyst,Single Atom,Ni,Ni,Silica Oxide,{'propane conversion': '89%'},,C3H8:O2:N2 = 1:0.5:8,823.15,,30000 h-1,ODH,"C3H8, O2, N2",True,"{'Selectivity': 'Single atom structure', 'Conversion': 'Single atom structure', 'Stability': 'Single atom structure'}",90.0,,,,120 h,0.0083,,74.7,2.1 mol/gcat/h,,,,,,10.1002/cjoc.202300504,2023.0,89.0
500,Cr/HZSM-5,Metal,Cr,Cr,Zeolites,{'Propane conversion': '32%'},0.003 h-1,,823.15,,WHSV of 2 h-1,PDH,"C3H8, N2",False,"{'Conversion': 'Incorporation of Cr into HZSM-5', 'Selectivity': 'Shape selectivity of HZSM-5'}",99.0,,,,Stable for 100 h,0.01,,31.7,,,,,,,10.1016/S2095-4956(13)60083-2,2013.0,32.0
501,P/Ga/ZSM-5,Metal Oxide,"P, Ga, Si, Al, O",Ga,Zeolites,{'Propane conversion': '36.1%'},,C3H8:CO2:Ar = 1:1:4,873.0,10.0,50 mg,ODH,"C3H8, CO2, Ar",True,"{'Selectivity': 'Promoter', 'Conversion': 'Promoter'}",42.3,,,P,,,,,,,,,,,10.1039/c9cy02589h,2020.0,36.1
502,Ga/HZSM-5,Metal,Ga,Ga,Zeolites,,,,873.15,,,PDH,Lignite pyrolysis volatiles,False,{'Selectivity': 'Structural composition'},,,,,,,,,,,,,,,10.1016/j.ces.2021.117235,2022.0,
503,Mixture of bromine and iodine,Others,"Br, I",,,{'Propane conversion': '71%'},,C3H8:O2:Br2:I2 = 0.1:0.05:0.043:0.01,773.15,,,ODH,"C3H8, O2, Br2, I2",True,"{'Selectivity': 'Composition', 'Conversion': 'Composition'}",83.0,,,,,,,59.0,,,,,,,10.1016/j.apcata.2019.05.003,2019.0,71.0
504,5% Ru-doped CeO2,Metal Oxide,"Ce, Ru",Ru,,{'Propane conversion': '53%'},,"C3H8:CO2:Ar = 1:2:5, CO2:C3H8 = 4:1",550.0,,,ODH,"Propane, Carbon dioxide, Oxygen, Argon",True,"{'Conversion': 'Structural Composition', 'Stability': 'Feed gas composition'}",65.0,,,,,,,,,,,,,,10.1039/c6cy00011h,2016.0,53.0
505,(1:1 Ni:Ga)@Ni3Ga/Al2O3,Alloy,"Ni, Ga",Ni,Aluminum Oxide,{'propane conversion': '13%'},0.0016 h-1,,873.15,,,PDH,propane,False,"{'Selectivity': 'Surface Composition', 'Stability': 'Structural Composition'}",94.0,Intermetallic Compounds,Chemical Methods,Ga,94% to 81% over 82 h,0.0016,,94.0,,,,,,,10.1021/jacs.8b05060,2018.0,13.0
506,Pt/SiO2,Alloy,"Pt, SiO2",Pt,Silica Oxide,{'Propane Conversion': '21.3%'},0.33 h-1,,1073.0,,,PDH,Propane,False,"{'Conversion': 'Preparation Method', 'Selectivity': 'Structural Composition'}",94.4,Nanoparticulate Alloys,Impregnation Methods,,3 h,0.33,,20.1,,,,,,,10.1039/c7cc03859c,2017.0,
507,Pt-Sn/Al2O3,Alloy,"Pt, Sn",Pt,Aluminum Oxide,{'Propane conversion': '21-59%'},,Propane:Oxygen 1:1,1065.65,1666.6666666666667,,ODH,"Propane, Oxygen, Nitrogen",True,"{'Conversion': 'Reactor design', 'Selectivity': 'Structural composition', 'Stability': 'Structural composition'}",35.0,,,,,,,,,,,,,,10.1016/S1385-8947(02)00158-4,2003.0,59.0
508,TiOx/Al2O3 nanosheet,Metal Oxide,"Ti, O, Al",Ti,Aluminum Oxide,{'propane conversion': '30%'},0.0126 (h-1),C3H8:H2=1:1,873.15,,WHSV: 2.8 (h-1),PDH,"C3H8, H2, N2",False,"{'Conversion': 'Structural Composition', 'Selectivity': 'Structural Composition', 'Stability': 'Structural Composition'}",92.3,,,,0.0126 (h-1),0.0126,,92.7,0.175 (mol/gTi/h),,,,,,10.1021/acscatal.3c00818,2023.0,30.0
509,Ga2O22+/H-ZSM-5,Metal Oxide,Ga,Ga,Zeolites,{'Propane Conversion': '10%'},,5% C3H8/N2,823.15,,,PDH,"C3H8, N2",False,"{'Conversion': 'Active species', 'Stability': 'Structural Composition'}",91.6,,,,2120 h^-1,,,,2120 h^-1,,,,,,10.1002/advs.202207756,2023.0,
510,Vanadium oxide incorporated mesoporous silica (V-m-SiO2),Metal Oxide,"V, Si, O",V,Silica Oxide,{'propane conversion': '3.9-19.8%'},,"16.8 kPa C3H8, 16.8 kPa O2, N2 balance",773.15,60.0,"0.1 g catalyst, 36,000 mL/gcat/h",ODH,"C3H8, O2, N2",True,"{'Selectivity': 'Preparation Method', 'Conversion': 'Preparation Method'}",85.1,,,,,,,16.9,,,,,,,10.1039/d3ra04024k,2023.0,19.8
511,Zn/H-ZSM-5,Metal,Zn,Zn,Zeolites,{'Propane conversion': '11%'},,"5% C3H8, 95% N2",823.15,100.0,15 mg,PDH,"C3H8, N2",False,"{'Selectivity': 'Structural Composition', 'Stability': 'Structural Composition'}",90.0,,,,20 h,0.05,5.07,9.9,,,,,,,10.1021/acscatal.2c05898,2023.0,11.0
512,Pt-Sn/SiO2,Alloy,"Pt, Sn","Pt, Sn",Silica Oxide,{'propane conversion': '23.7%'},"23.7% to 15.5% over 7 h, 2.3%/h",C3H8:N2=20:80,773.0,100.0,"20,000 h-1",PDH,"Propane, Nitrogen",False,{'Stability': 'Feed Composition'},,Nanoparticulate Alloys,Impregnation Methods,,7 h,7.0,,,,,,,,,10.1016/j.apcata.2020.117826,2020.0,23.7
513,PtSnAl/SBA-15,Alloy,"Pt, Sn, Al","Pt, Sn",Silica Oxide,{'Propane conversion': '55.9%'},"35.3% after 6 h for PtSnAl0/SBA-15, 40.5% after 6 h for PtSnAl0.2/SBA-15",C3H8:Ar = 1:5 (molar ratio),863.15,,WHSV of propane = 2.5 h-1,PDH,"C3H8, Ar",False,"{'Conversion': 'Structural Composition', 'Selectivity': 'Structural Composition', 'Stability': 'Structural Composition'}",98.5,Nanoparticulate Alloys,Impregnation Methods,Al,6 h,1.0,,,,,,,,,10.1039/c4cy00951g,2015.0,55.9
514,FeVO4,Metal Oxide,"Fe, V, O",V,,{'Propane conversion': 'N/A'},,55% propane,623.15,72.0,,ODH,"Propane, Nitrogen",False,{'Selectivity': 'Structural Composition'},,,,,,,,,,,,,,,10.1016/j.cjche.2022.10.006,2023.0,
515,0.3Pt/Al2O3-0.5K,Metal,"Pt, K",Pt,Aluminum Oxide,{'Propane conversion': '20%'},"0.63 wt% coke, 1.01 wt% coke","C3H8:N2:H2 = 10:9:1, 50% C3H8, 45% N2, 5% H2",848.15,100.0,55 h-1,PDH,"C3H8, N2, H2",False,"{'Selectivity': 'Structural composition', 'Stability': 'Structural composition'}",93.0,,,K,6%,6.0,,61.0,,,,,,,10.1016/j.mcat.2021.112059,2022.0,20.0
516,Pt/Ge-UTL,Metal,"Pt, Ge",Pt,Zeolites,{'propane conversion': '90-100%'},,C3H8:N2 = 1:1,3323.1499999999996,,WHSV of 4-20 h-1,PDH,"C3H8, N2",False,{'Stability': 'Structural composition'},99.0,,,,Stable for 100-600 h,0.01,,81.0,0.6-90 mmol g-1 h-1,,,,,,10.1038/s41929-023-00974-9,2023.0,100.0
517,Ga2O3-HZSM-5,Metal Oxide,"Ga, O, Si, Al",Ga,Zeolites,{'Propane conversion': '72%'},0.0072 h-1,C3H8/O2 = 1.5,823.15,120.0,5000 mL/g/h,ODH,"C3H8, O2",True,"{'Conversion': 'Ga species in catalyst', 'Selectivity': 'Modification of acid sites'}",90.0,,,,Stable for 10 h,0.1,,65.0,120 μmol/g/s,,,,,,10.1002/cjoc.201090265,2010.0,72.0
518,Sulfated Fe2O3/Al2O3,Metal Oxide,"Fe, Al",Fe,Aluminum Oxide,{'Propane conversion': '42%'},,N2:SO2:C3H8 = 19:1:30,833.15,12.0,,PDH,"N2, SO2, C3H8",False,"{'Selectivity': 'Structural composition', 'Conversion': 'Structural composition'}",80.0,,,S,,,,23.0,,,,,,,10.1039/c4cy01163e,2015.0,42.0
519,Pt-Sn/Al2O3,Alloy,"Pt, Sn",Pt,Aluminum Oxide,{'propane conversion': '45.8%'},0.017 (h-1),,893.15,,1.5 g,PDH,"C3H8, H2",False,"{'Conversion': 'Reaction Temperature', 'Selectivity': 'Promoter', 'Stability': 'Structural composition'}",85.0,Nanoparticulate Alloys,Impregnation Methods,Sn,0.017 (h-1),0.017,,,,,,,,,10.1016/S2095-4956(13)60096-0,2013.0,45.8
520,"TM1-N3/C (TM = Ti, Zr, Hf)",Single Atom,"Ti, Zr, Hf","Ti, Zr, Hf",Carbon-based,{'Propane conversion': '96%'},,,900.0,,,PDH,Propane,False,"{'Activity': 'Single atom composition', 'Selectivity': 'Structural composition'}",98.0,,,,,,,,,,,,,,10.1021/acscatal.3c00889,2023.0,96.0
521,Pt/BN,Metal,Pt,Pt,Boron-based,{'propane conversion': '30-50%'},0.09 h-1,,,,,PDH,"C3H8, H2, N2",False,"{'Selectivity': 'Calcination-induced and reduction-adjusted strong metal-support interaction', 'Stability': 'Calcination-induced and reduction-adjusted strong metal-support interaction'}",99.0,,,,0.09 h-1,0.09,,,,,,,,,10.1016/j.jechem.2021.10.008,2022.0,50.0
522,Vanadium-doped porous silica materials (V-SiO2),Metal Oxide,"V, Si",V,Silica Oxide,{'Propane conversion': '64%'},,C3H8/Ar = 1:10,853.15,16.5,0.61 h-1,PDH,"C3H8, Ar",False,"{'Conversion': 'Catalyst preparation method', 'Selectivity': 'Structural composition', 'Stability': 'Structural composition'}",90.0,,,,21 h,,,90.0,16.5 mL/min,,,,,,10.1016/j.apcata.2018.01.014,2018.0,64.0
523,Pt-Ge/Germanosilicate zeolite,Alloy,"Pt, Ge",Pt,Silica Oxide,{'Propane conversion': '54%'},0.00024 h-1,,773.15,,0.75 h-1,PDH,"Propane, Nitrogen",False,"{'Stability': 'Structural composition', 'Conversion': 'Structural composition', 'Selectivity': 'Structural composition'}",99.0,Others,Heat Treatment,,4200 h,0.00024,,,,,,,,,10.1038/s41929-023-00968-7,2023.0,54.0
524,Cr/SiO2,Metal Oxide,Cr,Cr,Silica Oxide,{'Propane conversion': '70-71%'},,C3H8:CO2:N2 = 15:30:55,600873.0,,,ODH,"C3H8, CO2, N2",True,"{'Conversion': 'Increased Cr loading', 'Selectivity': 'Use of CO2 as oxidant', 'Stability': 'Catalyst preparation method'}",66.0,,,,15-54 hours,54.0,,47.0,,,,,,,10.1039/c5cy00998g,2016.0,71.0
525,Mesoporous Ni-Mo-O,Metal Oxide,"Ni, Mo, O","Ni, Mo",Silica Oxide,{'propane conversion': '15.6%'},,,873.15,20.0,100 mg,ODH,"C3H8, O2, Ar",True,"{'Selectivity': 'Structural Composition', 'Conversion': 'Structural Composition'}",92.0,,,,,,,,,,,,,,10.1016/j.cattod.2019.02.036,2020.0,15.6
526,Pt/MgAl(In)O,Metal,"Pt, Mg, Al, In, O",Pt,Others,{'propane conversion': '34-82%'},0.2 h-1,Pure propane,823.15,20.0,1.5 g,PDH,Propane,False,"{'Selectivity': 'Structural composition', 'Stability': 'Structural composition'}",98.0,,,In,Stable for 5 h,1.0,,23.2,,,,,,,10.1016/j.apcata.2021.118053,2021.0,82.0
527,1Pt1Sn/SiO2_1073 K,Alloy,"Pt, Sn","Pt, Sn",Silica Oxide,{'propane conversion': '26.5%'},,20 vol% propane in N2,773.0,100.0,24 L/h/g,PDH,"Propane, N2",False,"{'Conversion': 'Structural Composition', 'Selectivity': 'Structural Composition'}",99.4,Nanoparticulate Alloys,Impregnation Methods,,3 h,,,,,,,,,,10.1002/cctc.201402306,2014.0,26.5
528,MoV0.4Nb0.1Te0.2Ox,Metal Oxide,"Mo, V, Nb, Te","Mo, V",,{'propane conversion': '90%'},,,693.0,,,ODH,"propane, O2, NH3",True,"{'Selectivity': 'Composition', 'Conversion': 'Composition'}",50.0,,,,,,,,,,,,,,10.1006/jcat.2000.2937,2000.0,90.0
529,5GaN/2000-Fe-silicalite-1,Metal Oxide,"Ga, N, Fe, Si","Ga, N",Silica Oxide,{'propane conversion': '37-47%'},0.095 h-1,N2/CO2/C3H8 = 25.5:3:1.5,873.15,30.0,0.88 h-1,ODH,"N2, CO2, C3H8",True,"{'Conversion': 'Structural Composition', 'Selectivity': 'Structural Composition', 'Stability': 'Structural Composition'}",90.0,,,Fe,6 h,1.0,,35.2,,,,,,,10.1021/acscatal.2c01989,2022.0,47.0
530,V2O5/TiO2/SiO2,Metal Oxide,"V, Ti",V,Silica Oxide,{'propane conversion': '10-27%'},,,673773.0,50.0,0.25 g,ODH,"C3H8, O2, N2",True,"{'Selectivity': 'Structural Composition', 'Conversion': 'Structural Composition'}",50.0,,,,8 h,1.0,,,,,,,,,10.1016/S0926-860X(01)00498-7,2001.0,27.0
531,CrOx/ZrO2,Metal Oxide,"Cr, Zr",Cr,Others,"{'Apparent': '70 kJ/mol', 'Propane conversion': 'N/A', 'Overall conversion': 'N/A'}","Increased by adding propene, Slowed by adding hydrogen or water",,723823.0,,,PDH,Propane,False,"{'Stability': 'Structural Composition', 'Conversion': 'Active species and support material'}",,,,,,,,,,,,,,,10.1016/0926-860X(92)80264-D,1992.0,
532,Liquid B2O3,Metal Oxide,"B, O","B, O",,{'propane conversion': '34%'},,C3H8:O2 = 1:1,823850.0,,,ODH,"C3H8, O2",True,"{'Conversion': 'Lower melting point', 'Selectivity': 'Reactive flexibility', 'Rate': 'Accounting for liquid nature in simulations'}",84.0,,,,,,9.220575,,,,,,,,10.1021/acscatal.3c01759,2023.0,34.0
533,CoB4O7,Metal Oxide,"Co, B, O","Co, B",,{'propane conversion': '17.6%'},No deactivation observed,C3H8:O2:N2 = 5:2:8 (volume ratio),763.15,,5.9 gC3H8/gcat/h,ODH,"C3H8, O2, N2",True,"{'Conversion': 'Structural composition', 'Selectivity': 'Structural composition', 'Stability': 'Structural composition'}",91.4,,,,200 h,8.33,,,,,,,,,10.1039/d1cy01792f,2022.0,17.6
534,Pt3.1Sn/MgAl2O4,Alloy,"Pt, Sn",Pt,Oxides,{'propane conversion': '38.9%'},10% in first 5 h,"10% C3H8, 10% H2, He balance",853.15,20.0,100 mg catalyst,PDH,"C3H8, H2, He",False,"{'Selectivity': 'Structural Composition', 'Stability': 'Structural Composition'}",99.7,Nanoparticulate Alloys,In Situ Synthesis,Sn,90 h,3.75,,38.8,,,,,,,10.1016/j.jcat.2014.09.013,2014.0,38.9
535,Ga-Rh Supported Catalytically Active Liquid Metal Solutions (SCALMS),Alloy,"Ga, Rh",Rh,Aluminum Oxide,{'propane conversion': 'N/A'},,,773.15,,,PDH,Propane,False,"{'Stability': 'Structural Composition', 'Selectivity': 'Structural Composition'}",,Single-atom Alloys,In Situ Synthesis,,,,,,,,,,,,10.1002/cctc.201901922,2020.0,
536,Cr20/Al2O3-n,Metal Oxide,"Cr, Al",Cr,Aluminum Oxide,{'Propane conversion': '32%'},,C3H8:He = 1:14,823.15,30.0,WHSV = 1.2 h-1,PDH,"C3H8, He",False,"{'Conversion': 'Catalyst composition', 'Stability': 'Support material'}",90.0,,,,10 cycles,10.0,,32.0,,,,,,,10.3390/nano7090249,2017.0,32.0
537,Hierarchical ZSM-5 zeolite,Others,"Si, Al",Al,Silica Oxide,{'Methanol conversion': '90%'},,Methanol,673.15,,,,Methanol,False,"{'Selectivity': 'Structural Composition', 'Stability': 'Structural Composition'}",34.0,,,,126 h,126.0,,,,,,,,,10.1016/j.powtec.2018.01.022,2018.0,90.0
538,CrOx/CexZr1-xO2,Metal Oxide,"Cr, Ce, Zr, O",Cr,Others,{'Propane conversion': '61%'},,C3H8/O2/He = 1/4/15,823.15,60.0,,ODH,"C3H8, O2, He",True,{'Selectivity': 'Structural composition'},80.0,,,"Ce, Zr",,,,,,,,,,,10.1021/acssuschemeng.7b03854,2018.0,61.0
539,,Metal,Pt,,,{'propane conversion': 'N/A'},,C3H8:H2O = 80:20,773.15,,,PDH,"C3H8, H2O",False,{'Stability': 'Process Conditions'},98.0,,,,40 h,1.0,,,,,,,,,10.1016/j.cattod.2017.10.017,2019.0,
540,V0.19Mn0.24Fe0.32Ga0.25Ox,Metal Oxide,"V, Mn, Fe, Ga","V, Mn, Fe, Ga",,{'propane conversion': '11-20%'},,C3H8/O2/N2=2/1/2,773.15,,,ODH,"C3H8, O2, N2",True,"{'Selectivity': 'Combinatorial and evolutionary approach', 'Conversion': 'Combinatorial and evolutionary approach', 'Yield': 'Combinatorial and evolutionary approach'}",36.0,,,,,,,8.0,,,,,,,10.1016/S0920-5861(00)00411-9,2000.0,20.0
541,Fe-doped CeO2,Metal Oxide,"Ce, Fe, O",Fe,Others,{'propane conversion': '17.5-52%'},"0.05-0.20% per hour, gradual over 20 hours","C3H8:CO2 - 5:5, 5% propane / 5% CO2, C3H8:CO2 - 1:1, 5% propane, 5% CO2",2823.1499999999996,30.0,200 mg catalyst-0.33 gcat × h/L,ODH,"C3H8, CO2, N2, propane",True,"{'Selectivity': 'Structural composition', 'Conversion': 'Structural composition', 'Stability': 'Structural composition'}",47.0,,,,20 hours,0.05,,10.0,,,,,,,10.1039/d0cy00586j,2020.0,52.0
542,Pt-Sn/Al2O3,Alloy,"Pt, Sn",Pt,Aluminum Oxide,{'Propane conversion': '39.5%'},0.04% conversion drop in 160 h,C3H8:H2O:He = 1:0.1:1,823.15,,100000 mL/g/h,PDH,"C3H8, H2O, He",False,"{'Stability': 'Promoter', 'Selectivity': 'Promoter'}",84.5,Intermetallic Compounds,Impregnation Methods,Sn,160 h,0.00625,,,,,,,,,10.1021/acscatal.1c00331,2021.0,39.5
543,Pt1Zr2O7 supported on HOPG,Single Atom,"Pt, Zr, O",Pt,Others,{'Propane conversion': '100%'},,1-Propanamine only,425.0,,,PDH,1-Propanamine,False,"{'Conversion': 'Single atom Pt dopant', 'Selectivity': 'Single atom Pt dopant'}",100.0,,,,,,,100.0,,,,,,,10.1021/acs.jpca.2c03149,2022.0,100.0
544,CoOx@NC/S-1(4),Metal Oxide,Co,Co,Silica Oxide,{'propane conversion': '40%'},19.7% (10 h at 600°C),C3H8:N2 = 5:19,873.15,,"0.1-0.2 g catalyst, 100 mg, WHSVpropane = 1.5 h-1",PDH,"C3H8, N2",False,"{'Selectivity': 'Preparation method', 'Conversion': 'Structural composition', 'Stability': 'Structural composition'}",97.0,,,,10 h,10.0,,97.0,8.8 μmol/gcat min,,,,,,10.1016/j.jcis.2021.03.023,2021.0,40.0
545,Gallium Oxide Supported on Niobia,Metal Oxide,"Ga, Nb",Ga,Others,{'Propane conversion': '13%'},,C3H8:N2=1:4,873.0,,0.5 g,PDH,"C3H8, N2",False,"{'Conversion': 'Structural Composition', 'Selectivity': 'Structural Composition'}",88.0,,,,,,,,,,,,,,10.1016/S0920-5861(02)00300-0,2003.0,13.0
546,ZnO nanoclusters supported on dealuminated Zeolite β,Metal Oxide,Zn,Zn,Zeolites,{'propane conversion': '53.3%'},25.9% (6 h),"5 vol% propane, balance N2",873.15,20.0,4000 cm3 gcat-1 h-1,PDH,"Propane, Nitrogen",False,"{'Conversion': 'Catalyst composition', 'Selectivity': 'Catalyst composition', 'Stability': 'Catalyst composition'}",92.9,,,,6 h,0.0,,49.5,,,,,,,10.1002/cctc.201801708,2019.0,53.3
547,La2NiO4+δ,Metal Oxide,"La, Ni, O","Ni, O",,{'propane conversion': '5-50%'},,,823.15,,,ODH,"Propane, Helium",False,{'Selectivity': 'Structural composition'},60.0,,,,,,,,,,,,,,10.1016/j.apcata.2010.06.024,2011.0,50.0
548,CrZrOx/SiO2,Metal Oxide,"Cr, Zr","Cr, Zr",Silica Oxide,{'propane conversion': '10%'},,,823.15,20.0,34.5 h-1,PDH,"C3H8, N2",False,"{'Selectivity': 'Structural Composition', 'Stability': 'Structural Composition', 'Conversion': 'Preparation Method'}",85.0,,,,50 cycles,,,,,,,,,,10.1021/acscatal.9b05063,2020.0,10.0
549,γ-Al2O3 and δ-Al2O3,Metal Oxide,"Al, O","Al, O",,{'Propane conversion': '27.5%'},,5% C3H8 in N2,873.15,,,PDH,"C3H8, N2",False,"{'Conversion': 'Surface reduction to create oxygen vacancies', 'Selectivity': 'Surface reduction to create oxygen vacancies'}",98.0,,,,20 h,20.0,,,,,,,,,10.1016/j.jcat.2021.03.033,2021.0,27.5
550,PtP2,Alloy,"Pt, P",Pt,Silica Oxide,{'Propane conversion': '25%'},0.147 (h-1),,823.15,,,PDH,"Propane, Hydrogen",False,"{'Selectivity': 'Structural Composition', 'Stability': 'Structural Composition'}",97.0,Nanoparticulate Alloys,Impregnation Methods,,0.147 (h-1),0.147,,,,,,,,,10.1021/acscatal.1c03970,2021.0,25.0
551,,Metal Oxide,"Cr, Al, Ga, V, O",,Silica Oxide,{'Propane conversion': '10%'},,,773.15,,,ODH,"Propane, Oxygen",True,"{'Conversion': 'Structural composition, Isolated active sites', 'Selectivity': 'Isolated active sites', 'Stability': 'Silica support, Co-feeding CO2'}",90.0,,,,Stable for 10 h,1.0,,,,,,,,,10.1021/cr900122p,2010.0,10.0
552,Rh-Cu single atom alloy,Alloy,"Rh, Cu",Rh,Silica Oxide,{'propane conversion': '39%'},,,400600.0,,,PDH,"Propane, Hydrogen",False,"{'Conversion': 'Structural Composition', 'Selectivity': 'Structural Composition'}",87.0,Single-atom Alloys,,,,,,34.0,,,,,,,10.1021/jacs.3c04030,2023.0,39.0
553,Pt-Sn/Zn-Al-O,Alloy,"Pt, Sn",Pt,Aluminum Oxide,{'propane conversion': '34-43%'},,"C3H8:He = 1:2, C3H8:C3H6:H2:Air:He = 0.72:0.28:0.28:0.47:1.25",773.15,,0.05-0.678 g cat h/mol,PDH,"C3H8, He, H2, C3H6",False,"{'Conversion': 'Catalyst composition', 'Selectivity': 'Catalyst composition', 'Stability': 'Catalyst composition'}",99.8,Nanoparticulate Alloys,Impregnation Methods,"Sn, Zn",5 h,5.0,,,,,,,,,10.1016/j.apcata.2008.12.022,2009.0,43.0
554,PtIn/Mg(Al)O-600,Alloy,"Pt, In",Pt,Others,{'propane conversion': '69%'},,H2:C3H8:Ar = 7:8:35 (molar ratio),620.0,,WHSV = 3.3 h-1,PDH,"H2, C3H8, Ar",False,"{'Conversion': 'Preparation Method', 'Selectivity': 'Preparation Method', 'Stability': 'Preparation Method'}",98.0,Nanoparticulate Alloys,Impregnation Methods,In,31 h,31.0,,,,,,,,,10.1016/j.cej.2017.05.058,2017.0,69.0
555,Pt3Y alloy nanoparticles,Alloy,"Pt, Y",Pt,Zeolites,{'Propane conversion': '28-42%'},"0.001 gcoke gcat-1h-1, 16% decrease in 30 days of reaction",,853.0,,5.5 h-1,PDH,Propane,False,{'Stability': 'Intermetallic alloy formation between Pt and Y promoted by silanol nests in the zeolite support'},90.0,Intermetallic Compounds,Heat Treatment,Y,20 days,480.0,,,,,,,,,10.1016/j.jcat.2021.09.011,2021.0,42.0
556,Isolated Pt atoms anchored to Zn species,Single Atom,"Pt, Zn",Pt,Zeolites,{'Propane conversion': '24.5%'},,Propane/He,823.0,7.5,1350 h-1,PDH,"Propane, He",False,"{'Conversion': 'Catalyst structure', 'Selectivity': 'Catalyst structure', 'Stability': 'Catalyst structure'}",99.0,,,Zn,No deactivation after 12 days,0.0,25.3,,,,,,,,10.1021/acscatal.2c01631,2022.0,24.5
557,Platinum supported on magnesium aluminate spinel,Metal,Pt,Pt,Aluminum Oxide,{'Propane conversion': '28%'},,,873.15,,,PDH,"Propane, Hydrogen sulfide",False,"{'Stability': 'Sulfur addition', 'Selectivity': 'Sulfur addition', 'Conversion': 'High temperature operation'}",94.0,,,,6 cycles,144.0,,,,,,,,,10.1016/0021-9517(86)90312-X,1986.0,28.0
558,PtIn2/SiO2,Alloy,"Pt, In",Pt,Silica Oxide,{'Ethane Conversion': '30%'},,"2.5% C2H6, 2.5% H2, N2 balance",873.15,100.0,100 mg,PDH,"C2H6, H2, N2",False,"{'Selectivity': 'Structural Composition', 'Conversion': 'Structural Composition', 'Stability': 'Preparation Method'}",98.0,Intermetallic Compounds,Others,In,9 h,1.0,,,,,,,,,10.1021/acscatal.0c01554,2020.0,
559,Pt/Sn-Beta,Alloy,"Pt, Sn",Pt,Zeolites,{'Propane Conversion': '50%'},0.006 h-1,"10 vol% C3H8, 10 vol% H2, N2 Balance",843.15,,141 to 2400 h-1,PDH,"C3H8, H2, N2",False,"{'Stability': 'Anchoring Pt clusters onto isolated Sn sites', 'Conversion': 'High dispersion of Pt-Sn alloy particles', 'Selectivity': 'Dilution of Pt with Sn'}",99.0,Nanoparticulate Alloys,Surface & Support Methods,Sn,45% after 48h,0.006,,45.0,,,,,,,10.1021/acscatal.9b03527,2020.0,
560,Cr-Al-800,Metal Oxide,"Cr, Al",Cr,Aluminum Oxide,{'Propane conversion': '33.2%'},0.26% (h-1),C3H8,873.15,8.0,100 mg,PDH,C3H8,False,"{'Stability': 'Structural composition', 'Conversion': 'Structural composition'}",90.4,,,K,0.26% (h-1),0.26,,30.0,,,,,,,10.1016/S1872-2067(18)63202-4,2019.0,33.2
561,MOF-derived iron catalyst,Metal,Fe,Fe,Carbon-based,{'propane conversion': '20%'},,"3-5 kPa propane, 3% C3H8, 97% N2",835.65,20.0,30 mg,PDH,"Propane, Nitrogen",False,"{'Selectivity': 'Structural composition', 'Stability': 'Structural composition'}",90.0,,,,stable for >48 h,0.021,5.0,81.0,0.043 mol/gFe/h,,,,,,10.1021/acs.jpcc.8b08066,2018.0,20.0
562,Isolated VOx sites on Al2O3,Metal Oxide,"V, O",V,Aluminum Oxide,{'Propane conversion': '30%'},No deactivation observed over 11 h TOS,"20% C3H8, 31% N2, Ar balance",873.15,35.0,"200 mg, 3.8 h-1",PDH,"C3H8, N2, Ar",False,"{'Stability': 'Catalyst preparation method', 'Activity': 'Catalyst composition'}",99.0,,,,11 h,1.0,,29.0,145 μmol/gcat h,,,,,,10.1021/acs.jpcc.1c04737,2021.0,30.0
563,VSiO and KVSiO,Metal Oxide,"V, Si, O",V,Silica Oxide,{'propane conversion': '0-25%'},,"propane/O2 = 0.3-2.0, propane = 7-30%",653793.0,,,ODH,"propane, O2",True,"{'Selectivity': 'Promoter', 'Stability': 'Promoter'}",95.0,,,K,10-1000 min,16.7,,,,,,,,,10.1016/j.cep.2005.03.002,2005.0,25.0
564,Co-MFI,Single Atom,Co,Co,Zeolites,{'Propane conversion': '78-90.6%'},,5 mol% C3H8 in Ar,853.15,,"0.2 g catalyst, WHSV = 0.6 h-1",PDH,"C3H8, Ar",False,"{'Conversion': 'Structural composition', 'Selectivity': 'Structural composition', 'Stability': 'Structural composition'}",96.8,,,,No deactivation after 600 min time on stream,600.0,,96.8,5.05 mmol gcat-1 h-1,,,,,,10.1021/jacs.2c02636,2022.0,90.6
565,Pt-Sn/Al2O3,Alloy,"Pt, Sn","Pt, Sn",Aluminum Oxide,{'Propane conversion': '38-48%'},,,803873.0,,,PDH,"Propane, Propylene, Hydrogen, Argon",False,{'Conversion': 'Process Conditions'},92.0,Nanoparticulate Alloys,,,,,,,,,,,,,10.1016/j.ces.2023.118816,2023.0,48.0
