Name,Type,CompositionElements,ActiveSpeciesElements,SupportMaterial,ConversionTypes,DeactivationRates,FeedCompositionAndRatios,ReactionTemperature,InletFlowRate,CatalystLoadingOrGHSV,TypeIdentify,FeedGasComposition,ContainsOxidizingAgent,Enhancement,Selectivity,StructureType,PreparationMethod,PromoterElements,StabilityOriginal,ConvertedStability,PropanePartialPressure,PropyleneYield,PropaneProductionRate,PropaneConversion,ThermalConductivity,PropeneYield,PropeneProductionRate,TurnoverFrequency,DOI,Year
Cr/HZSM-5,Metal,Cr,Cr,HZSM-5,{'Propane conversion': '32%'},0.003 h-1,,550℃,,WHSV of 2 h-1,PDH,"C3H8, N2",No,"{'Conversion': 'Incorporation of Cr into HZSM-5', 'Selectivity': 'Shape selectivity of HZSM-5'}",99%,,,,Stable for 100 h,0.01 h-1,,31.7%,,,,,,,10.1016/S2095-4956(13)60083-2,2013.0
P/Ga/ZSM-5,Metal Oxide,"P, Ga, Si, Al, O",Ga,ZSM-5 Zeolite,{'Propane conversion': '36.1%'},,C3H8:CO2:Ar = 1:1:4,873 K,10 mL/min,50 mg,ODH,"C3H8, CO2, Ar",Yes,"{'Selectivity': 'Promoter', 'Conversion': 'Promoter'}",42.3%,,,P,,,,,,,,,,,10.1039/c9cy02589h,2020.0
Ga/HZSM-5,Metal,Ga,Ga,HZSM-5 zeolite,,,,600 ℃,,,PDH,Lignite pyrolysis volatiles,No,{'Selectivity': 'Structural composition'},,,,,,,,,,,,,,,10.1016/j.ces.2021.117235,2022.0
Mixture of bromine and iodine,Other,"Br, I",,,{'Propane conversion': '71%'},,C3H8:O2:Br2:I2 = 0.1:0.05:0.043:0.01,500℃,,,ODH,"C3H8, O2, Br2, I2",Yes,"{'Selectivity': 'Composition', 'Conversion': 'Composition'}",83%,,,,,,,59%,,,,,,,10.1016/j.apcata.2019.05.003,2019.0
5% Ru-doped CeO2,Metal Oxide,"Ce, Ru",Ru,,{'Propane conversion': '53%'},,"C3H8:CO2:Ar = 1:2:5, CO2:C3H8 = 4:1",550 (deg C),,,ODH,"Propane, Carbon dioxide, Oxygen, Argon",Yes,"{'Conversion': 'Structural Composition', 'Stability': 'Feed gas composition'}",65%,,,,,,,,,,,,,,10.1039/c6cy00011h,2016.0
(1:1 Ni:Ga)@Ni3Ga/Al2O3,Alloy,"Ni, Ga",Ni,Alumina,{'propane conversion': '13%'},0.0016 h-1,,600 ℃,,,PDH,propane,No,"{'Selectivity': 'Surface Composition', 'Stability': 'Structural Composition'}",94%,Intermetallic Compounds,Hydroxide Method and Heat Treatment,Ga,94% to 81% over 82 h,0.0016 h-1,,94%,,,,,,,10.1021/jacs.8b05060,2018.0
Pt/SiO2,Alloy,"Pt, SiO2",Pt,Silica Oxide,{'Propane Conversion': '21.3%'},0.33 h-1,,1073 K,,,PDH,Propane,No,"{'Conversion': 'Preparation Method', 'Selectivity': 'Structural Composition'}",94.4%,Nanoparticulate Alloys,Impregnation Methods,,3 h,0.33 h-1,,20.1%,,,,,,,10.1039/c7cc03859c,2017.0
Pt-Sn/Al2O3,Alloy,"Pt, Sn",Pt,Al2O3,{'Propane conversion': '21-59%'},,Propane:Oxygen 1:1,690-895°C,5-100 L/h,,ODH,"Propane, Oxygen, Nitrogen",Yes,"{'Conversion': 'Reactor design', 'Selectivity': 'Structural composition', 'Stability': 'Structural composition'}",18-35%,,,,,,,,,,,,,,10.1016/S1385-8947(02)00158-4,2003.0
TiOx/Al2O3 nanosheet,Metal Oxide,"Ti, O, Al",Ti,Aluminum Oxide,{'propane conversion': '30%'},0.0126 (h-1),C3H8:H2=1:1,600 (℃),50 (sccm),WHSV: 2.8 (h-1),PDH,"C3H8, H2, N2",No,"{'Conversion': 'Structural Composition', 'Selectivity': 'Structural Composition', 'Stability': 'Structural Composition'}",92.3%,,,,0.0126 (h-1),0.0126 (h-1),,92.7%,0.175 (mol/gTi/h),,,,,,10.1021/acscatal.3c00818,2023.0
Ga2O22+/H-ZSM-5,Metal Oxide,Ga,Ga,H-ZSM-5 Zeolite,{'Propane Conversion': '10%'},,5% C3H8/N2,550℃,,,PDH,"C3H8, N2",No,"{'Conversion': 'Active species', 'Stability': 'Structural Composition'}",91.6%,,,,2120 h^-1,,,,2120 h^-1,,,,,,10.1002/advs.202207756,2023.0
Vanadium oxide incorporated mesoporous silica (V-m-SiO2),Metal Oxide,"V, Si, O",V,Silica Oxide,{'propane conversion': '3.9-19.8%'},,"16.8 kPa C3H8, 16.8 kPa O2, N2 balance",460-540℃,60 mL/min,"0.1 g catalyst, 36,000 mL/gcat/h",ODH,"C3H8, O2, N2",Yes,"{'Selectivity': 'Preparation Method', 'Conversion': 'Preparation Method'}",66.7-85.1%,,,,,,,3.2-16.9%,,,,,,,10.1039/d3ra04024k,2023.0
Zn/H-ZSM-5,Metal,Zn,Zn,H-ZSM-5 zeolite,{'Propane conversion': '11%'},,"5% C3H8, 95% N2",550℃,100 mL/min,15 mg,PDH,"C3H8, N2",No,"{'Selectivity': 'Structural Composition', 'Stability': 'Structural Composition'}",75-90%,,,,20 h,0.05 h-1,5.07 kPa,9.9%,,,,,,,10.1021/acscatal.2c05898,2023.0
Pt-Sn/SiO2,Alloy,"Pt, Sn","Pt, Sn",Silica Oxide,{'propane conversion': '23.7%'},"23.7% to 15.5% over 7 h, 2.3%/h",C3H8:N2=20:80,773 K,100 mL/min,"20,000 h-1",PDH,"Propane, Nitrogen",No,{'Stability': 'Feed Composition'},,Nanoparticulate Alloys,Impregnation Methods,,7 h,7 h-1,,,,,,,,,10.1016/j.apcata.2020.117826,2020.0
PtSnAl/SBA-15,Alloy,"Pt, Sn, Al","Pt, Sn",SBA-15 (silica),{'Propane conversion': '55.9%'},"35.3% after 6 h for PtSnAl0/SBA-15, 40.5% after 6 h for PtSnAl0.2/SBA-15",C3H8:Ar = 1:5 (molar ratio),590 ℃,,WHSV of propane = 2.5 h-1,PDH,"C3H8, Ar",No,"{'Conversion': 'Structural Composition', 'Selectivity': 'Structural Composition', 'Stability': 'Structural Composition'}",98.5%,Nanoparticulate Alloys,Impregnation Methods,Al,6 h,1 h-1,,,,,,,,,10.1039/c4cy00951g,2015.0
FeVO4,Metal Oxide,"Fe, V, O",V,,{'Propane conversion': 'N/A'},,55% propane,350℃,72 ml/min,,ODH,"Propane, Nitrogen",No,{'Selectivity': 'Structural Composition'},,,,,,,,,,,,,,,10.1016/j.cjche.2022.10.006,2023.0
0.3Pt/Al2O3-0.5K,Metal,"Pt, K",Pt,Alumina,{'Propane conversion': '20%'},"0.63 wt% coke, 1.01 wt% coke","C3H8:N2:H2 = 10:9:1, 50% C3H8, 45% N2, 5% H2",575℃,100 mL/min,55 h-1,PDH,"C3H8, N2, H2",No,"{'Selectivity': 'Structural composition', 'Stability': 'Structural composition'}",93%,,,K,6%,6 h-1,,61%,,,,,,,10.1016/j.mcat.2021.112059,2022.0
Pt/Ge-UTL,Metal,"Pt, Ge",Pt,Zeolite,{'propane conversion': '90-100%'},,C3H8:N2 = 1:1,550-600℃,,WHSV of 4-20 h-1,PDH,"C3H8, N2",No,{'Stability': 'Structural composition'},90-99%,,,,Stable for 100-600 h,0-0.01 h-1,,60-81%,0.6-90 mmol g-1 h-1,,,,,,10.1038/s41929-023-00974-9,2023.0
Ga2O3-HZSM-5,Metal Oxide,"Ga, O, Si, Al",Ga,HZSM-5,{'Propane conversion': '72%'},0.0072 h-1,C3H8/O2 = 1.5,550°C,120 mL/min,5000 mL/g/h,ODH,"C3H8, O2",Yes,"{'Conversion': 'Ga species in catalyst', 'Selectivity': 'Modification of acid sites'}",90%,,,,Stable for 10 h,0.1 h-1,,65%,120 μmol/g/s,,,,,,10.1002/cjoc.201090265,2010.0
Sulfated Fe2O3/Al2O3,Metal Oxide,"Fe, Al",Fe,Alumina,{'Propane conversion': '42%'},,N2:SO2:C3H8 = 19:1:30,560℃,12 mL/min,,PDH,"N2, SO2, C3H8",No,"{'Selectivity': 'Structural composition', 'Conversion': 'Structural composition'}",80%,,,S,,,,23%,,,,,,,10.1039/c4cy01163e,2015.0
Pt-Sn/Al2O3,Alloy,"Pt, Sn",Pt,Al2O3,{'propane conversion': '45.8%'},0.017 (h-1),,620°C,1.8-2.2 (h-1),1.5 g,PDH,"C3H8, H2",No,"{'Conversion': 'Reaction Temperature', 'Selectivity': 'Promoter', 'Stability': 'Structural composition'}",85%,Nanoparticulate Alloys,Impregnation Methods,Sn,0.017 (h-1),0.017 (h-1),,,,,,,,,10.1016/S2095-4956(13)60096-0,2013.0
"TM1-N3/C (TM = Ti, Zr, Hf)",Single Atom,"Ti, Zr, Hf","Ti, Zr, Hf",Nitrogen-doped graphene,{'Propane conversion': '96%'},,,900 K,,,PDH,Propane,No,"{'Activity': 'Single atom composition', 'Selectivity': 'Structural composition'}",98%,,,,,,,,,,,,,,10.1021/acscatal.3c00889,2023.0
Pt/BN,Metal,Pt,Pt,BN,{'propane conversion': '30-50%'},0.09 h-1,,,,,PDH,"C3H8, H2, N2",No,"{'Selectivity': 'Calcination-induced and reduction-adjusted strong metal-support interaction', 'Stability': 'Calcination-induced and reduction-adjusted strong metal-support interaction'}",99%,,,,0.09 h-1,0.09 h-1,,,,,,,,,10.1016/j.jechem.2021.10.008,2022.0
Vanadium-doped porous silica materials (V-SiO2),Metal Oxide,"V, Si",V,Silica Oxide,{'Propane conversion': '64%'},,C3H8/Ar = 1:10,580℃,16.5 mL/min,0.61 h-1,PDH,"C3H8, Ar",No,"{'Conversion': 'Catalyst preparation method', 'Selectivity': 'Structural composition', 'Stability': 'Structural composition'}",90%,,,,21 h,21,,57-90%,16.5 mL/min,,,,,,10.1016/j.apcata.2018.01.014,2018.0
Pt-Ge/Germanosilicate zeolite,Alloy,"Pt, Ge",Pt,Germanosilicate zeolite,{'Propane conversion': '54%'},0.00024 h-1,,500 ℃,,0.75 h-1,PDH,"Propane, Nitrogen",No,"{'Stability': 'Structural composition', 'Conversion': 'Structural composition', 'Selectivity': 'Structural composition'}",99%,Subnanometric clusters,Impregnation and reduction,,4200 h,0.00024 h-1,,,,,,,,,10.1038/s41929-023-00968-7,2023.0
Cr/SiO2,Metal Oxide,Cr,Cr,Silica Oxide,{'Propane conversion': '70-71%'},,C3H8:CO2:N2 = 15:30:55,600-873 K,200 h-1,,ODH,"C3H8, CO2, N2",Yes,"{'Conversion': 'Increased Cr loading', 'Selectivity': 'Use of CO2 as oxidant', 'Stability': 'Catalyst preparation method'}",66%,,,,15-54 hours,15-54 h-1,,47%,,,,,,,10.1039/c5cy00998g,2016.0
Mesoporous Ni-Mo-O,Metal Oxide,"Ni, Mo, O","Ni, Mo",Silica Oxide,{'propane conversion': '15.6%'},,,600°C,20 mL/min,100 mg,ODH,"C3H8, O2, Ar",Yes,"{'Selectivity': 'Structural Composition', 'Conversion': 'Structural Composition'}",71.9-92%,,,,,,,,,,,,,,10.1016/j.cattod.2019.02.036,2020.0
Pt/MgAl(In)O,Metal,"Pt, Mg, Al, In, O",Pt,MgAlO,{'propane conversion': '34-82%'},0.2 h-1,Pure propane,550℃,20 mL/min,1.5 g,PDH,Propane,No,"{'Selectivity': 'Structural composition', 'Stability': 'Structural composition'}",97-98%,,,In,Stable for 5 h,0.0048-1 h-1,Atmospheric pressure,20-23.2%,,,,,,,10.1016/j.apcata.2021.118053,2021.0
1Pt1Sn/SiO2_1073 K,Alloy,"Pt, Sn","Pt, Sn",Silica Oxide,{'propane conversion': '26.5%'},,20 vol% propane in N2,773 K,100 mL/min,24 L/h/g,PDH,"Propane, N2",No,"{'Conversion': 'Structural Composition', 'Selectivity': 'Structural Composition'}",99.4%,Nanoparticulate Alloys,Impregnation Methods,,3 h,,,,,,,,,,10.1002/cctc.201402306,2014.0
MoV0.4Nb0.1Te0.2Ox,Metal Oxide,"Mo, V, Nb, Te","Mo, V",,{'propane conversion': '90%'},,,693 K,,,ODH,"propane, O2, NH3",Yes,"{'Selectivity': 'Composition', 'Conversion': 'Composition'}",50%,,,,,,,,,,,,,,10.1006/jcat.2000.2937,2000.0
5GaN/2000-Fe-silicalite-1,Metal Oxide,"Ga, N, Fe, Si","Ga, N",Silicalite-1,{'propane conversion': '37-47%'},0.095 h-1,N2/CO2/C3H8 = 25.5:3:1.5,600℃,30 mL/min,0.88 h-1,ODH,"N2, CO2, C3H8",Yes,"{'Conversion': 'Structural Composition', 'Selectivity': 'Structural Composition', 'Stability': 'Structural Composition'}",79-90%,,,Fe,6 h,1 h-1,,33.3-35.2%,,,,,,,10.1021/acscatal.2c01989,2022.0
V2O5/TiO2/SiO2,Metal Oxide,"V, Ti",V,Silica Oxide,{'propane conversion': '10-27%'},,,673-773 K,50 cm3/min,0.25 g,ODH,"C3H8, O2, N2",Yes,"{'Selectivity': 'Structural Composition', 'Conversion': 'Structural Composition'}",15-50%,,,,8 h,1 h-1,,,,,,,,,10.1016/S0926-860X(01)00498-7,2001.0
CrOx/ZrO2,Metal Oxide,"Cr, Zr",Cr,Zirconia,"{'Apparent': '70 kJ/mol', 'Propane conversion': 'N/A', 'Overall conversion': 'N/A'}","Increased by adding propene, Slowed by adding hydrogen or water",,723-823 K,,,PDH,Propane,No,"{'Stability': 'Structural Composition', 'Conversion': 'Active species and support material'}",,,,,,,,,,,,,,,10.1016/0926-860X(92)80264-D,1992.0
Liquid B2O3,Metal Oxide,"B, O","B, O",,{'propane conversion': '34%'},,C3H8:O2 = 1:1,823-850 K,,,ODH,"C3H8, O2",Yes,"{'Conversion': 'Lower melting point', 'Selectivity': 'Reactive flexibility', 'Rate': 'Accounting for liquid nature in simulations'}",75-84%,,,,,,0.091 atm,,,,,,,,10.1021/acscatal.3c01759,2023.0
CoB4O7,Metal Oxide,"Co, B, O","Co, B",,{'propane conversion': '17.6%'},No deactivation observed,C3H8:O2:N2 = 5:2:8 (volume ratio),490℃,,5.9 gC3H8/gcat/h,ODH,"C3H8, O2, N2",Yes,"{'Conversion': 'Structural composition', 'Selectivity': 'Structural composition', 'Stability': 'Structural composition'}",91.4%,,,,200 h,8.33 h-1,,,,,,,,,10.1039/d1cy01792f,2022.0
Pt3.1Sn/MgAl2O4,Alloy,"Pt, Sn",Pt,MgAl2O4,{'propane conversion': '38.9%'},10% in first 5 h,"10% C3H8, 10% H2, He balance",580℃,20 ml/min,100 mg catalyst,PDH,"C3H8, H2, He",No,"{'Selectivity': 'Structural Composition', 'Stability': 'Structural Composition'}",99.7%,Nanoparticulate Alloys,In Situ Synthesis,Sn,90 h,3.75 h-1,,38.8%,,,,,,,10.1016/j.jcat.2014.09.013,2014.0
Ga-Rh Supported Catalytically Active Liquid Metal Solutions (SCALMS),Alloy,"Ga, Rh",Rh,Alumina,{'propane conversion': 'N/A'},,,450-550 ℃,,,PDH,Propane,No,"{'Stability': 'Structural Composition', 'Selectivity': 'Structural Composition'}",,Single-atom Alloys,In Situ Synthesis,,,,,,,,,,,,10.1002/cctc.201901922,2020.0
Cr20/Al2O3-n,Metal Oxide,"Cr, Al",Cr,Alumina,{'Propane conversion': '32%'},,C3H8:He = 1:14,550℃,30 cm3/min,WHSV = 1.2 h-1,PDH,"C3H8, He",No,"{'Conversion': 'Catalyst composition', 'Stability': 'Support material'}",90%,,,,10 cycles,10 h-1,,32%,,,,,,,10.3390/nano7090249,2017.0
Hierarchical ZSM-5 zeolite,Zeolite,"Si, Al",Al,Silica,{'Methanol conversion': '90%'},,Methanol,400 ℃,,,,Methanol,No,"{'Selectivity': 'Structural Composition', 'Stability': 'Structural Composition'}",34%,,,,126 h,126 h-1,,,,,,,,,10.1016/j.powtec.2018.01.022,2018.0
CrOx/CexZr1-xO2,Metal Oxide,"Cr, Ce, Zr, O",Cr,CexZr1-xO2,{'Propane conversion': '61%'},,C3H8/O2/He = 1/4/15,550 ℃,60 mL/min,,ODH,"C3H8, O2, He",Yes,{'Selectivity': 'Structural composition'},80%,,,"Ce, Zr",,,,,,,,,,,10.1021/acssuschemeng.7b03854,2018.0
,Metal,Pt,,,{'propane conversion': 'N/A'},,C3H8:H2O = 80:20,400-600 ℃,,,PDH,"C3H8, H2O",No,{'Stability': 'Process Conditions'},95-98%,,,,40 h,1 h-1,,,,,,,,,10.1016/j.cattod.2017.10.017,2019.0
V0.19Mn0.24Fe0.32Ga0.25Ox,Metal Oxide,"V, Mn, Fe, Ga","V, Mn, Fe, Ga",,{'propane conversion': '11-20%'},,C3H8/O2/N2=2/1/2,500℃,,,ODH,"C3H8, O2, N2",Yes,"{'Selectivity': 'Combinatorial and evolutionary approach', 'Conversion': 'Combinatorial and evolutionary approach', 'Yield': 'Combinatorial and evolutionary approach'}",36%,,,,,,,8%,,,,,,,10.1016/S0920-5861(00)00411-9,2000.0
Fe-doped CeO2,Metal Oxide,"Ce, Fe, O",Fe,Ceria (CeO2),{'propane conversion': '17.5-52%'},"0.05-0.20% per hour, gradual over 20 hours","C3H8:CO2 - 5:5, 5% propane / 5% CO2, C3H8:CO2 - 1:1, 5% propane, 5% CO2",450-600°C,10-30 mL/min,200 mg catalyst-0.33 gcat × h/L,ODH,"C3H8, CO2, N2, propane",Yes,"{'Selectivity': 'Structural composition', 'Conversion': 'Structural composition', 'Stability': 'Structural composition'}",47%,,,,20 hours,0.05 h-1,,10%,,,,,,,10.1039/d0cy00586j,2020.0
Pt-Sn/Al2O3,Alloy,"Pt, Sn",Pt,Al2O3,{'Propane conversion': '39.5%'},0.04% conversion drop in 160 h,C3H8:H2O:He = 1:0.1:1,550 ℃,,100000 mL/g/h,PDH,"C3H8, H2O, He",No,"{'Stability': 'Promoter', 'Selectivity': 'Promoter'}",84.5%,Intermetallic Compounds,Impregnation Methods,Sn,160 h,0.00625 h-1,,,,,,,,,10.1021/acscatal.1c00331,2021.0
Pt1Zr2O7 supported on HOPG,Single Atom,"Pt, Zr, O",Pt,HOPG,{'Propane conversion': '100%'},,1-Propanamine only,425 K,,,PDH,1-Propanamine,No,"{'Conversion': 'Single atom Pt dopant', 'Selectivity': 'Single atom Pt dopant'}",100%,,,,,,,100%,,,,,,,10.1021/acs.jpca.2c03149,2022.0
CoOx@NC/S-1(4),Metal Oxide,Co,Co,Silicalite-1 zeolite,{'propane conversion': '40%'},19.7% (10 h at 600°C),C3H8:N2 = 5:19,600°C,,"0.1-0.2 g catalyst, 100 mg, WHSVpropane = 1.5 h-1",PDH,"C3H8, N2",No,"{'Selectivity': 'Preparation method', 'Conversion': 'Structural composition', 'Stability': 'Structural composition'}",97%,,,,10 h,10 h-1,,97%,8.8 μmol/gcat min,,,,,,10.1016/j.jcis.2021.03.023,2021.0
Gallium Oxide Supported on Niobia,Metal Oxide,"Ga, Nb",Ga,Niobia,{'Propane conversion': '13%'},,C3H8:N2=1:4,873 K,,0.5 g,PDH,"C3H8, N2",No,"{'Conversion': 'Structural Composition', 'Selectivity': 'Structural Composition'}",88%,,,,,,,,,,,,,,10.1016/S0920-5861(02)00300-0,2003.0
ZnO nanoclusters supported on dealuminated Zeolite β,Metal Oxide,Zn,Zn,Zeolites,{'propane conversion': '53.3%'},25.9% (6 h),"5 vol% propane, balance N2",600°C,20 cm3 min-1,4000 cm3 gcat-1 h-1,PDH,"Propane, Nitrogen",No,"{'Conversion': 'Catalyst composition', 'Selectivity': 'Catalyst composition', 'Stability': 'Catalyst composition'}",92.9%,,,,6 h,0 h-1,,49.5%,,,,,,,10.1002/cctc.201801708,2019.0
La2NiO4+δ,Metal Oxide,"La, Ni, O","Ni, O",,{'propane conversion': '5-50%'},,,550°C,,,ODH,"Propane, Helium",No,{'Selectivity': 'Structural composition'},60%,,,,,,,,,,,,,,10.1016/j.apcata.2010.06.024,2011.0
CrZrOx/SiO2,Metal Oxide,"Cr, Zr","Cr, Zr",Silica Oxide,{'propane conversion': '10%'},,,550℃,20 mL/min,34.5 h-1,PDH,"C3H8, N2",No,"{'Selectivity': 'Structural Composition', 'Stability': 'Structural Composition', 'Conversion': 'Preparation Method'}",85%,,,,50 cycles,150 h,,,,,,,,,10.1021/acscatal.9b05063,2020.0
γ-Al2O3 and δ-Al2O3,Metal Oxide,"Al, O","Al, O",,{'Propane conversion': '27.5%'},,5% C3H8 in N2,600°C,,,PDH,"C3H8, N2",No,"{'Conversion': 'Surface reduction to create oxygen vacancies', 'Selectivity': 'Surface reduction to create oxygen vacancies'}",95-98%,,,,20 h,20 h-1,,,,,,,,,10.1016/j.jcat.2021.03.033,2021.0
PtP2,Alloy,"Pt, P",Pt,Silica,{'Propane conversion': '25%'},0.147 (h-1),,550℃,,,PDH,"Propane, Hydrogen",No,"{'Selectivity': 'Structural Composition', 'Stability': 'Structural Composition'}",97%,Nanoparticulate Alloys,Impregnation,,0.147 (h-1),0.147 (h-1),,,,,,,,,10.1021/acscatal.1c03970,2021.0
,Metal Oxides,"Cr, Al, Ga, V, O",,"Silica oxide, Alumina",{'Propane conversion': '10%'},,,500 °C,,,"PDH, ODH","Propane, Oxygen",Yes,"{'Conversion': 'Structural composition, Isolated active sites', 'Selectivity': 'Isolated active sites', 'Stability': 'Silica support, Co-feeding CO2'}",90%,,,,Stable for 10 h,1 h-1,,,,,,,,,10.1021/cr900122p,2010.0
Rh-Cu single atom alloy,Alloy,"Rh, Cu",Rh,Silica Oxide,{'propane conversion': '39%'},,,400-600 K,,,PDH,"Propane, Hydrogen",No,"{'Conversion': 'Structural Composition', 'Selectivity': 'Structural Composition'}",87%,Single-atom Alloys,,,,,,34%,,,,,,,10.1021/jacs.3c04030,2023.0
Pt-Sn/Zn-Al-O,Alloy,"Pt, Sn",Pt,Aluminum Oxide,{'propane conversion': '34-43%'},,"C3H8:He = 1:2, C3H8:C3H6:H2:Air:He = 0.72:0.28:0.28:0.47:1.25",500 °C,,0.05-0.678 g cat h/mol,PDH,"C3H8, He, H2, C3H6",No,"{'Conversion': 'Catalyst composition', 'Selectivity': 'Catalyst composition', 'Stability': 'Catalyst composition'}",99.3-99.8%,Nanoparticulate Alloys,Impregnation Methods,"Sn, Zn",5 h,1-5 h-1,,,,,,,,,10.1016/j.apcata.2008.12.022,2009.0
PtIn/Mg(Al)O-600,Alloy,"Pt, In",Pt,Mg(Al)O,{'propane conversion': '69%'},,H2:C3H8:Ar = 7:8:35 (molar ratio),620째C,,WHSV = 3.3 h-1,PDH,"H2, C3H8, Ar",No,"{'Conversion': 'Preparation Method', 'Selectivity': 'Preparation Method', 'Stability': 'Preparation Method'}",98%,Nanoparticulate Alloys,Impregnation Methods,In,31 h,31 h-1,,,,,,,,,10.1016/j.cej.2017.05.058,2017.0
Pt3Y alloy nanoparticles,Alloy,"Pt, Y",Pt,Mesoporous MFI zeolite,{'Propane conversion': '28-42%'},"0.001 gcoke gcat-1h-1, 16% decrease in 30 days of reaction",,853 K,,5.5 h-1,PDH,Propane,No,{'Stability': 'Intermetallic alloy formation between Pt and Y promoted by silanol nests in the zeolite support'},90%,Intermetallic Compounds,"Impregnation with salts or nitrate precursors, followed by calcination and reduction",Y,20 days,480 h-1,,,,,,,,,10.1016/j.jcat.2021.09.011,2021.0
Isolated Pt atoms anchored to Zn species,Single Atom,"Pt, Zn",Pt,Self-pillared pentasil (SPP) zeolite,{'Propane conversion': '24.5%'},,Propane/He,823 K,2.5/7.5 mL/min (NTP),1350 h-1,PDH,"Propane, He",No,"{'Conversion': 'Catalyst structure', 'Selectivity': 'Catalyst structure', 'Stability': 'Catalyst structure'}",99%,,,Zn,No deactivation after 12 days,0 h-1,25.3 kPa,,,,,,,,10.1021/acscatal.2c01631,2022.0
Platinum supported on magnesium aluminate spinel,Metal,Pt,Pt,Magnesium aluminate spinel,{'Propane conversion': '28%'},,,600 °C,,,PDH,"Propane, Hydrogen sulfide",No,"{'Stability': 'Sulfur addition', 'Selectivity': 'Sulfur addition', 'Conversion': 'High temperature operation'}",92-94%,,,,6 cycles,144 h-1,,,,,,,,,10.1016/0021-9517(86)90312-X,1986.0
PtIn2/SiO2,Alloy,"Pt, In",Pt,Silica Oxide,{'Ethane Conversion': '30%'},,"2.5% C2H6, 2.5% H2, N2 balance",600℃,100 cm3 min-1,100 mg,PDH,"C2H6, H2, N2",No,"{'Selectivity': 'Structural Composition', 'Conversion': 'Structural Composition', 'Stability': 'Preparation Method'}",98%,Intermetallic Compounds,Colloidal Synthesis,In,9 h,1 h-1,,,,,,,,,10.1021/acscatal.0c01554,2020.0
Pt/Sn-Beta,Alloy,"Pt, Sn",Pt,Beta Zeolite,{'Propane Conversion': '50%'},0.006 h-1,"10 vol% C3H8, 10 vol% H2, N2 Balance",570℃,,141 to 2400 h-1,PDH,"C3H8, H2, N2",No,"{'Stability': 'Anchoring Pt clusters onto isolated Sn sites', 'Conversion': 'High dispersion of Pt-Sn alloy particles', 'Selectivity': 'Dilution of Pt with Sn'}",99%,Nanoparticulate Alloys,Surface Organometallic Chemistry,Sn,45% after 48h,0.006 h-1,,45%,,,,,,,10.1021/acscatal.9b03527,2020.0
Cr-Al-800,Metal Oxide,"Cr, Al",Cr,Alumina,{'Propane conversion': '33.2%'},0.26% (h-1),C3H8,600℃,8 mL/min,100 mg,PDH,C3H8,No,"{'Stability': 'Structural composition', 'Conversion': 'Structural composition'}",90.4%,,,K,0.26% (h-1),0.26 (h-1),,30.0%,,,,,,,10.1016/S1872-2067(18)63202-4,2019.0
MOF-derived iron catalyst,Metal,Fe,Fe,Carbon,{'propane conversion': '20%'},,"3-5 kPa propane, 3% C3H8, 97% N2",550-575℃,20 sccm,30 mg,PDH,"Propane, Nitrogen",No,"{'Selectivity': 'Structural composition', 'Stability': 'Structural composition'}",61-90%,,,,stable for >48 h,0.021 h-1,3-5 kPa,81%,0.043 mol/gFe/h,,,,,,10.1021/acs.jpcc.8b08066,2018.0
Isolated VOx sites on Al2O3,Metal Oxide,"V, O",V,Alumina,{'Propane conversion': '30%'},No deactivation observed over 11 h TOS,"20% C3H8, 31% N2, Ar balance",600°C,35 mL/min,"200 mg, 3.8 h-1",PDH,"C3H8, N2, Ar",No,"{'Stability': 'Catalyst preparation method', 'Activity': 'Catalyst composition'}",97-99%,,,,11 h,0-1 h-1,,29%,145 μmol/gcat h,,,,,,10.1021/acs.jpcc.1c04737,2021.0
VSiO and KVSiO,Metal Oxide,"V, Si, O",V,Silica Oxide,{'propane conversion': '0-25%'},,"propane/O2 = 0.3-2.0, propane = 7-30%",653-793 K,,,ODH,"propane, O2",Yes,"{'Selectivity': 'Promoter', 'Stability': 'Promoter'}",35-95%,,,K,10-1000 min,0.02-16.7 h-1,,,,,,,,,10.1016/j.cep.2005.03.002,2005.0
Co-MFI,Single Atom,Co,Co,Zeolite (MFI),{'Propane conversion': '78-90.6%'},,5 mol% C3H8 in Ar,580℃,WHSV = 0.6 h-1,"0.2 g catalyst, WHSV = 0.6 h-1",PDH,"C3H8, Ar",No,"{'Conversion': 'Structural composition', 'Selectivity': 'Structural composition', 'Stability': 'Structural composition'}",93-96.8%,,,,No deactivation after 600 min time on stream,600 h-1,,96.7-96.8%,5.05 mmol gcat-1 h-1,,,,,,10.1021/jacs.2c02636,2022.0
Pt-Sn/Al2O3,Alloy,"Pt, Sn","Pt, Sn",Alumina,{'Propane conversion': '38-48%'},,,803-873 K,0.047 m/s,,PDH,"Propane, Propylene, Hydrogen, Argon",No,{'Conversion': 'Process Conditions'},92%,Nanoparticulate Alloys,,,,,,,,,,,,,10.1016/j.ces.2023.118816,2023.0
Chromium oxide supported on MCM-41,Metal Oxide,Cr,Cr,MCM-41,{'propane conversion': '21-62%'},,C3H8:CO2 = 1:5,773-923 K,,0.5 g,ODH,"C3H8, CO2",Yes,"{'Conversion': 'Catalyst preparation method', 'Selectivity': 'Structural composition', 'Yield': 'Process conditions'}",80-90%,,,,,,,34.9%,,,,,,,10.1016/j.apcata.2008.07.008,2008.0
